Results from heasarc_atnfpulsar: ATNF Pulsar Catalog
Coordinate system: Equatorial
|name            |period               |period_error|period_dot |period_dot_error|median_mass|age     |corr_age |
|PSR J1959+2048  |0.00160740168480632  |     3.0e-17|1.68515e-20|         9.0e-25|     0.0248|1.51e+09| 2.16e+09|
|PSR J1227-4853  |0.001686375410273    |     1.2e-14|1.11000e-20|         1.2e-21|     0.2478|2.41e+09| 3.18e+09|
|PSR J1023+0038  |0.0016879874702211   |     3.0e-16|6.93000e-21|         9.0e-24|     0.1570|3.86e+09| 5.00e+09|
|PSR J1902-5105  |0.00174239994990564  |     1.6e-16|9.19930e-21|         1.3e-24|     0.1880|3.00e+09| 3.10e+09|
|PSR J1835-3259B |0.0018302930799293   |     4.0e-16|4.34220e-20|         4.0e-24|     0.2010|6.68e+08| 7.01e+08|
|PSR J1723-2837  |0.001855732795729    |     1.1e-14|7.50000e-21|         5.0e-22|     0.2771|3.90e+09| 6.45e+09|
|PSR J0034-0534  |0.0018771818845850   |     2.0e-16|4.96600e-21|         1.0e-24|     0.1646|5.99e+09| 7.32e+09|
|PSR J1653-0158  |0.0019676820247057   |     2.0e-16|2.40200e-21|         3.0e-24|     0.0112|1.30e+10| 3.90e+10|
|PSR J1737-0314A |0.00197997624609088  |     1.6e-16|9.55610e-20|         1.2e-23|     0.0184|3.28e+08| 3.34e+08|
|PSR J2052+1219  |0.00198525628181868  |     8.0e-17|6.70370e-21|         2.0e-24|     0.0383|4.69e+09| 1.18e+10|
|PSR J1431-4715  |0.0020119534425332   |     9.0e-16|1.41100e-20|         3.0e-23|     0.1449|2.26e+09| 2.80e+09|
|PSR J1641+8049  |0.00202117938468221  |     9.0e-17|8.95000e-21|         9.0e-23|     0.0468|3.58e+09|-2.42e+09|
|PSR J1543-5149  |0.0020569603924157   |     6.0e-16|1.61590e-20|         1.3e-23|     0.2620|2.02e+09| 2.04e+09|
|PSR J1906+0454  |0.0020832783349232   |     3.0e-16|2.98200e-21|         1.4e-23|     0.1864|1.11e+10|-1.81e+10|
|PSR J2055+3829  |0.00208929030219107  |     3.0e-17|9.99600e-22|         5.0e-25|     0.0259|3.31e+10| 1.96e+11|
|PSR J1805+0615  |0.0021289064590218   |     5.0e-16|2.27580e-20|         9.0e-24|     0.0265|1.48e+09| 1.88e+09|
|PSR J1903+0327  |0.00214991236434921  |     5.0e-17|1.88208e-20|         1.0e-24|     1.0837|1.81e+09| 1.93e+09|
|PSR J2241-5236  |0.0021866997725548446|     1.0e-18|6.89656e-21|         3.0e-26|     0.0135|5.02e+09| 7.27e+09|
|PSR J1446-4701  |0.002194695780881595 |     1.5e-17|9.80750e-21|         3.0e-25|     0.0220|3.55e+09| 3.63e+09|
|PSR J2256-1024  |0.00229453181696499  |     3.0e-17|1.13535e-20|         1.0e-24|     0.0342|3.20e+09| 3.50e+09|
|PSR J1701-3006F |0.0022947270806719   |     2.9e-15|2.22100e-19|         1.8e-21|     0.0241|1.64e+08| 1.65e+08|
|PSR J0218+4232  |0.00232309053151224  |     8.0e-17|7.73955e-20|         7.0e-25|     0.1957|4.76e+08| 4.80e+08|
|PSR J1017-7156  |0.002338514440402662 |     5.0e-18|2.21387e-21|         6.0e-26|     0.2214|1.67e+10| 3.18e+10|
|PSR J1731-1847  |0.00234455954688568  |     1.1e-16|2.54070e-20|         5.0e-24|     0.0385|1.46e+09| 1.53e+09|
|PSR J2043+1711  |0.002379878924013453 |     3.0e-18|5.24431e-21|         6.0e-26|     0.1976|7.19e+09| 9.34e+09|
|PSR J1342+2822B |0.002389420757786    |     1.0e-15|1.85800e-20|         4.0e-23|     0.2394|2.04e+09| 2.09e+09|
|PSR J2205+6012  |0.00241554794898110  |     4.0e-17|1.97939e-20|         2.9e-25|     0.1746|1.93e+09| 1.99e+09|
